1 2.88
2 0.612
3 0.115
4 0.094
5 0.093
6 0.093
7 0.084
8 0.088
9 0.087
10 0.086
11 0.093
12 0.095
13 0.086
14 0.152
15 0.124
16 0.091
17 0.159
18 0.091
19 0.085
20 0.084
21 0.105
22 0.096
23 0.084
24 0.085
25 0.085
26 0.086
27 0.086
28 0.088
29 0.087
30 0.087
31 0.082
32 0.104
33 0.103
34 0.098
35 0.133
36 0.111
37 0.092
38 0.088
39 0.089
40 0.091
41 0.088
42 0.098
43 0.132
44 0.087
45 0.099
46 0.086
47 0.096
48 0.100
49 0.103
50 0.106
51 0.094
52 0.090
53 0.086
54 0.087
55 0.085
56 0.127
57 0.096
58 0.094
59 0.084
60 0.137
61 0.097
62 0.083
63 0.097
64 0.092
65 0.088
66 0.085
67 0.107
68 0.087
69 0.095
70 0.134
71 0.084
72 0.085
73 0.142
74 0.095
75 0.083
76 0.089
77 0.084
78 0.087
79 0.086
80 0.218
81 0.088
82 0.360
83 0.090
84 0.119
85 0.091
86 0.094
87 0.088
88 0.088
89 0.101
90 0.122
91 0.088
92 0.094
93 0.086
94 0.097
95 0.091
96 0.088
97 0.100
98 0.107
99 0.123
100 0.093
