1 2048
2 1039
4 0.923
5 0.095
6 0.056
7 0.086
8 0.088
9 0.087
10 0.094
12 0.079
13 0.174
14 0.078
15 0.087
16 0.087
17 0.124
18 0.089
19 0.205
20 0.087
21 0.091
22 0.090
23 0.093
24 0.109
25 0.090
26 0.089
27 0.091
29 0.095
31 0.086
32 0.087
33 0.129
34 0.121
35 0.110
36 0.085
37 0.089
39 0.093
40 0.115
43 0.089
44 0.141
45 0.085
46 0.115
47 0.094
48 0.087
53 0.089
54 0.099
55 0.119
57 0.089
58 0.156
60 0.151
61 0.132
62 0.095
63 0.123
64 0.124
65 0.093
66 0.092
67 0.085
68 0.087
69 0.150
70 0.141
71 0.114
72 0.163
73 0.092
75 0.093
76 0.068
77 0.105
79 0.084
80 0.087
81 0.099
82 0.177
83 0.089
84 0.091
85 0.094
86 0.097
87 0.119
88 0.170
89 0.118
90 0.087
91 0.085
92 0.089
93 0.079
96 0.119
99 0.089
100 0.085
