1 439
2 239
3 250
4 205
5 201
6 291
7 328
8 348
9 253
10 324
11 202
12 243
13 194
14 449
15 437
16 277
17 427
18 197
19 419
20 411
21 200
22 409
23 232
24 230
25 201
26 196
27 388
28 214
29 314
30 355
31 193
32 460
33 195
34 450
35 528
36 268
37 318
38 329
39 499
40 428
41 267
42 318
43 329
44 328
45 208
46 209
47 249
48 305
49 325
50 208
51 226
52 194
53 324
54 424
55 324
56 392
57 380
58 211
59 258
60 366
61 365
62 353
63 206
64 421
65 246
66 309
67 393
68 380
69 353
70 352
71 328
72 324
73 333
74 605
75 338
76 240
77 318
78 355
79 337
80 443
81 209
82 261
83 425
84 485
85 426
86 358
87 246
88 409
89 307
90 309
91 195
92 218
93 548
94 338
95 385
96 245
97 200
98 446
99 470
100 253
