1 1.98
2 0.973
3 0.127
4 0.093
5 0.085
6 0.084
10 0.089
11 0.086
12 0.086
13 0.087
14 0.087
16 0.197
17 0.083
18 0.090
19 0.085
20 0.226
21 0.105
22 0.088
23 0.319
24 0.133
25 0.122
26 0.090
27 0.089
28 0.091
29 0.088
30 0.088
31 0.088
32 0.087
33 0.086
34 0.089
35 0.119
36 0.087
37 0.087
38 0.099
39 0.089
40 0.137
42 0.089
44 0.088
45 0.088
46 0.087
47 0.086
48 0.089
49 0.088
52 0.106
53 0.144
55 0.086
56 0.095
57 0.086
58 0.099
59 0.089
60 0.090
61 0.247
63 0.087
64 0.088
65 0.117
67 0.088
68 0.144
69 0.087
70 0.105
71 0.087
72 0.092
73 0.088
74 0.164
75 0.089
76 0.092
77 0.093
79 0.094
81 0.058
82 0.090
83 0.047
84 0.057
85 0.069
86 0.057
89 0.058
90 0.080
91 0.071
92 0.059
94 0.091
95 0.074
96 0.070
98 0.083
99 0.058
100 0.055
